,brand,description,link,price,img-file
80,raven and lily,addis mini crossbody cognac,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/MG_0225_1_1024x.jpg?v=1553073666,120.0,rl_21.jpg
81,raven and lily,mini mara crossbody sienna,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1911010final_1024x.jpg?v=1553073744,198.0,rl_22.jpg
82,raven and lily,aeden convertible bucket bag black,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910785final_1024x.jpg?v=1551864104,398.0,rl_23.jpg
83,raven and lily,aeden convertible bucket bag turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/H0049_Aeden_Convertible_Bucket_Brown_1_1024x.jpg?v=1539768092,398.0,rl_24.jpg
84,raven and lily,mini fringe hobo turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910957final_1024x.jpg?v=1551864173,258.0,rl_26.jpg
85,raven and lily,mini fringe hobo honey,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/IMG_4694_1024x.jpg?v=1551864172,258.0,rl_27.jpg
86,raven and lily,mini fringe hobo sienna,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910980final_1024x.jpg?v=1553073740,258.0,rl_28.jpg
87,raven and lily,kerem convertible handbag turkish coffee,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910993final__1_1024x.jpg?v=1551864156,198.0,rl_29.jpg
88,raven and lily,kerem convertible handbag olive,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/R_L_2.4.1910985final_1024x.jpg?v=1551864156,198.0,rl_30.jpg
89,raven and lily,mini mara crossbody turkish coffee suede,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/H0018A_Mini_Mara_Crossbody_Turkish_Coffee_1_1_1024x.jpg?v=1551864175,131.6,rl_31.jpg
90,raven and lily,mini mara crossbody honey,https://cdn.shopify.com/s/files/1/0012/0815/6249/products/H0018B_Mini_Mara_Crossbody_Honey_1_1024x.jpg?v=1539163358,131.6,rl_32.jpg
